"Thématiques","Critères","Accueil","Espace Plaisancier","Mentions légales","Accessibilité","FAQ","Aide",Mon tableau de bord (mode connecté),Déclarer la cession / vente d'un navire (mode connecté)
"11","10","na","na","na","na","na","na","nc|Il y a une astérisque rouge qui n'est pas légendée. Comme c'est un champ unique de recherche, l'indication visuelle ne semble pas indispensable et peut être retirée. Ajouter plutôt un attribut `required`au champ.
Les messages d'erreurs doivent bien mentionner ""La saisie du **numéro d'enregistrement ou d'immatriculation**""
Le caractère obligatoire et le format attendu pourrait être explicité dans le `<label>`. cf 
https://gouvfr.atlassian.net/wiki/spaces/DB/pages/217088099/Champs+de+saisie+-+Input#Champ-avec-texte-d%E2%80%99aide
```
    <label for=""numero"">numéro d'enregistrement
        <span class=""hint-text"">Texte de description additionnel</span>
    </label>
    <input  type=""text"" id=""numero"" name=""numero"" required >
```",nc|Aucune info sur la réussite ou l'échec de l'ajout d'une pj
"11","11","na","na","na","na","na","na",c,nc
"11","12","na","na","na","na","na","na",na,na
"11","13","na","na","na","na","na","na",na,na
"12","1","nc","nc","nc","nc","nc","nc",nc,nc
"12","2","c","c","c","c","c","c",c,c
"12","3","nc","nc","nc","nc","nc","nc",nc,nc
"12","4","na","na","na","na","na","na",na,na
"12","5","na","na","na","na","na","na",na,na
"12","6","nc","nc","nc","nc","nc","nc",nc,nc
"12","7","nc","nc","nc","nc","nc","nc",nc,nc
"12","8","nc","nc","c","c","nc","c",c,c
"12","9","nc","nc","nc","nc","nc","nc",c,c
"12","10","na","na","na","na","na","na",na,na
"12","11","na","na","na","na","na","na",na,na
"13","1","c","c","c","c","c","c",c,c
"13","2","na","na","na","na","na","na",na,na
"13","3","na","na","na","na","na","nc|Le pdf ou la version html de l'aide ne semble pas accessible",na,na
"13","4","na","na","na","na","na","na",na,na
"13","5","c","c","c","c","c","c",na,na
"13","6","c","c","c","c","c","c",na,na
"13","7","c","c","c","c","c","c",na,na
"13","8","c","c","c","c","c","c",c,c
"13","9","c","c","c","c","c","c",c,c
"13","10","na","na","na","na","na","na",na,na
"13","11","na","na","na","na","na","na",na,na
"13","12","na","na","na","na","na","na",na,na
